gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC148152.3_FG001,0.281216855,-0.003944551,0.573898711,-0.006873253,0.994515981,NA
AC148152.3_FG005,1.12136222,1.04047396,0.904767941,1.149989863,0.250148046,NA
AC148152.3_FG006,0,NA,NA,NA,NA,NA
AC148152.3_FG008,2291.068342,0.220279898,0.39866348,0.552545968,0.58057435,0.776278488
AC148167.6_FG001,1121.143432,0.401235408,0.323144567,1.241659149,0.214362348,0.43305336
AC149475.2_FG002,52.07214298,-0.488334125,0.521594185,-0.936233836,0.349152806,0.585133461
AC149475.2_FG003,417.3614938,-0.158756312,0.401171722,-0.395731561,0.69230307,0.848267412
AC149475.2_FG005,434.431223,-0.539792614,0.314318099,-1.717344991,0.085916156,0.23491581
AC149475.2_FG007,22.4564711,2.433588597,0.726916348,3.347824828,0.000814485,0.006479819
AC149810.2_FG003,2.881515454,0.15816624,0.948764151,0.166707648,0.867600087,0.945374136
AC149810.2_FG004,0.73729675,-0.041301429,0.79417117,-0.052005702,0.95852415,NA
AC149810.2_FG008,371.4653288,0.238954857,0.409114947,0.584077554,0.559168136,0.760580767
AC149818.2_FG001,21.31540523,4.28616568,0.803472709,5.334550422,9.58E-08,2.28E-06
AC149818.2_FG004,13.40556985,-0.977365471,0.766679706,-1.274802847,0.202379033,0.417781522
AC149818.2_FG005,5.21944414,-0.481895819,0.917646686,-0.525143093,0.599483721,0.789261376
AC149818.2_FG006,478.229738,-0.472890727,0.239111667,-1.977698255,0.047962757,0.156172563
AC149818.2_FG007,19.55866898,-2.276170274,0.639417382,-3.559756642,0.000371199,0.003327401
AC149818.2_FG008,92.72781766,0.034624288,0.436350198,0.07934977,0.93675442,0.97651866
AC149818.2_FG009,0.231195601,-0.003841524,0.569893755,-0.006740772,0.994621683,NA
AC149828.2_FG002,150.1508976,0.499779671,0.393234248,1.270946451,0.2037477,0.419327944
AC149828.2_FG004,9.333216529,1.717243293,0.801545064,2.142416403,0.032159989,0.116323551
AC149828.2_FG005,1.780492471,-1.631318887,0.926108158,-1.761477721,0.078157581,NA
AC149829.2_FG002,2.041281688,-0.245098801,0.955654397,-0.256472216,0.797586231,0.910255896
AC149829.2_FG003,57.12332059,-0.126151011,0.474542491,-0.265837125,0.79036465,0.906238281
AC149829.2_FG004,6.067470593,-1.284721867,0.929247326,-1.382540289,0.166805869,0.369048794
AC149829.2_FG006,126.6096547,-0.000265395,0.448451248,-0.000591804,0.999527809,0.999680024
AC150739.3_FG001,73.91544617,0.028596446,0.395793944,0.072250843,0.942402284,0.979090605
AC152495.1_FG002,161.3505484,-0.940797772,0.403060253,-2.334136806,0.01958856,0.080050227
