gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC148152.3_FG001,1.588076248,0.211354877,0.297949931,0.709363737,NA,NA
AC148152.3_FG005,13.50958036,-0.609732307,0.401687074,-1.51792862,0.129032394,0.567707563
AC148152.3_FG006,0.102795982,-0.061251064,0.129478282,-0.473060526,0.636169998,NA
AC148152.3_FG008,491.7032883,-0.013886211,0.247759034,-0.056047245,0.95530417,0.989544148
AC148167.6_FG001,324.8907329,0.33142623,0.199117971,1.664471714,0.096018199,0.512629573
AC149475.2_FG002,8.572482061,-0.655265205,0.394774131,-1.659848387,0.096944957,0.513698468
AC149475.2_FG003,39.8400564,-0.370181193,0.272422012,-1.358851992,0.174193494,0.625992577
AC149475.2_FG005,98.15120185,0.230221798,0.185474681,1.241257277,0.214510722,0.668279742
AC149475.2_FG007,1.619955533,-0.461423439,0.382343449,-1.206829723,0.227497727,NA
AC149810.2_FG003,0.543070594,0.307131906,0.307514948,0.998754397,0.317913682,NA
AC149810.2_FG004,0.80573143,0.108483327,0.29426254,0.368661695,0.712379904,NA
AC149810.2_FG008,34.69995607,-0.028628566,0.332951085,-0.085984299,0.931478898,0.984028274
AC149818.2_FG001,5.312028481,0.041645543,0.386330704,0.107797653,0.914156205,0.982742415
AC149818.2_FG004,4.706518572,0.678455587,0.398918092,1.700739077,0.088991994,0.500835575
AC149818.2_FG005,1.058383207,-0.454178879,0.357910083,-1.268974809,0.204450049,NA
AC149818.2_FG006,67.94831296,0.144317647,0.293541345,0.491643337,0.622971501,0.904566988
AC149818.2_FG007,4.987354064,-0.10814645,0.387261065,-0.279259806,0.78004545,0.950568554
AC149818.2_FG008,37.72599305,0.725238088,0.275835243,2.629243751,0.0085575,0.198073208
AC149818.2_FG009,0.054324892,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC149828.2_FG002,13.90359592,-0.365395581,0.305521033,-1.195975209,0.231706234,0.682092822
AC149828.2_FG004,21.41784933,0.40395905,0.383456296,1.053468293,0.292126419,0.735528029
AC149828.2_FG005,0.074742592,0.132779379,0.129017309,1.029159421,0.303404767,NA
AC149829.2_FG002,5.126595778,0.104048803,0.403999021,0.257547167,0.796756409,0.955423232
AC149829.2_FG003,2.225576677,0.114769222,0.390163048,0.294157078,0.768637877,NA
AC149829.2_FG004,3.813953888,-0.570826259,0.376405333,-1.516520113,0.129387889,0.56788508
AC149829.2_FG006,49.39411383,-0.342959542,0.2925652,-1.172249953,0.241096718,0.691039402
AC150739.3_FG001,13.57123195,-0.757283616,0.324430882,-2.334190911,0.019585728,0.284135014
AC152495.1_FG002,16.57879198,0.249873761,0.398200269,0.627507765,0.530326448,0.867997978
AC152495.1_FG003,0.755236737,0.012199352,0.2991773,0.040776328,0.967474211,NA
AC152495.1_FG010,27.07223793,-0.441534254,0.403810582,-1.093419225,0.274209776,0.720933877
AC152495.1_FG011,0.210235221,-0.031276066,0.155609113,-0.200991221,0.840705439,NA
AC152495.1_FG012,8.078857231,0.668450619,0.393627142,1.69818223,0.089473373,0.502109804
AC152495.1_FG013,0.270985663,-0.116970135,0.192701892,-0.607000446,0.543850616,NA
AC152495.1_FG015,0.675472688,0.013451785,0.311319259,0.04320897,0.965534955,NA
AC152495.1_FG017,32.97780077,-0.915519051,0.378359238,-2.419708461,0.015532955,0.253534144
AC155352.2_FG001,0.378922436,0.016270593,0.24457305,0.066526514,0.946958649,NA
AC155352.2_FG010,0,NA,NA,NA,NA,NA
AC155376.2_FG002,0.072701138,-0.046369922,0.12855974,-0.36068774,0.718332891,NA
AC155376.2_FG004,4.765198666,0.005026316,0.404157501,0.012436527,0.990077343,0.998220054
AC155376.2_FG005,72.59171162,0.532743801,0.35641346,1.49473536,0.134983522,0.576694591
AC155377.1_FG001,614.623889,0.302332853,0.176288767,1.714986483,0.086347705,0.495683015
AC155377.1_FG002,28.17019957,0.060026538,0.218764265,0.274389136,0.783785591,0.951093056
AC155390.2_FG002,3.022345831,-0.051036715,0.399236403,-0.127835826,0.898278898,0.979139752
AC155434.2_FG001,31.62348835,0.716723011,0.393621159,1.820844724,0.068630464,0.454318096
AC155434.2_FG003,1.075902234,-0.497055003,0.369328635,-1.345833914,0.178356085,NA
AC155434.2_FG004,60.49001045,0.524455759,0.214514561,2.444849234,0.014491271,0.247935896
AC155434.2_FG005,28.68816276,0.309717489,0.349014675,0.887405345,0.374860707,0.791944942
AC155434.2_FG006,775.7483325,-0.116142492,0.235513773,-0.493145223,0.621909979,0.904122999
AC155496.2_FG009,118.293272,0.072448975,0.18867504,0.383988124,0.70098725,0.928608448
AC155610.2_FG007,2.540917065,0.041918512,0.387804254,0.108091935,0.913922766,NA
AC155610.2_FG009,20.16267981,-0.209276167,0.314629168,-0.66515183,0.505953387,0.858021542
AC155622.2_FG001,62.42580026,0.124961295,0.218106874,0.572936071,0.566687981,0.882604108
AC155622.2_FG004,3.966115609,0.42987732,0.400208509,1.074133384,0.282762904,0.7274316
AC155624.2_FG006,43.5667108,0.168253007,0.215798648,0.77967591,0.435581662,0.827216351
AC155624.2_FG011,255.6279327,-0.478823072,0.265240186,-1.805243315,0.071036616,0.460115836
AC159612.1_FG007,7.807361075,0.317260055,0.400475683,0.792208038,0.428239382,0.823444532
AC165171.2_FG002,0.069290101,-0.059153336,0.128936474,-0.458778918,0.646392936,NA
AC165178.2_FG004,8.506976231,-0.610826408,0.38286705,-1.595400826,0.110622631,0.53989058
AC166636.1_FG007,5.992959374,-0.213756708,0.371747445,-0.575005183,0.565287792,0.881974575
AC166636.1_FG008,3.152482756,0.39358385,0.396846449,0.991778688,0.321305496,0.756842777
AC166636.1_FG009,0.46162089,0.024528448,0.256870016,0.095489727,0.92392585,NA
AC177831.3_FG004,2.102594546,-0.375751988,0.267832372,-1.402937163,NA,NA
AC177833.2_FG001,0.054324892,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC177837.3_FG002,0,NA,NA,NA,NA,NA
AC177838.2_FG015,0.174188125,0.008924912,0.134879077,0.066169727,0.947242698,NA
AC177844.2_FG003,0.039954411,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC177850.2_FG003,10.58234526,0.181749718,0.402460635,0.451596261,0.651559864,0.914021109
AC177850.2_FG005,11.73886851,0.319198132,0.3495768,0.91309873,0.361190618,0.784428938
AC177860.4_FG002,0.39429406,-0.063445751,0.142705312,-0.44459278,NA,NA
AC177890.3_FG005,0.026204442,0.07138026,0.127345089,0.560526213,0.575120565,NA
AC177893.3_FG003,0.738607656,0.068829427,0.248733309,0.276719783,0.78199528,NA
AC177893.3_FG006,0,NA,NA,NA,NA,NA
AC177897.2_FG002,4.704385072,1.105852872,0.404045817,2.736949192,0.006201187,0.16853626
AC177897.2_FG022,0,NA,NA,NA,NA,NA
AC177897.2_FG029,0,NA,NA,NA,NA,NA
AC177899.2_FG009,0.883616803,-0.1726031,0.362983349,-0.475512447,0.634421763,NA
AC177899.2_FG012,0.048355428,0.003814255,0.127345089,0.02995212,0.976105239,NA
AC177900.4_FG001,0,NA,NA,NA,NA,NA
AC177905.2_FG001,0,NA,NA,NA,NA,NA
